,id,output
537,6,"[ 0.99494296  0.5111349  -1.7678454  -1.2571875   0.88484156  1.5974027
  0.05993832  0.54425836  0.4439578  -0.586225   -1.6415596  -0.5976721
  1.1618826   1.0483539   0.86395884  0.2172308  -1.1157792   0.0481348
  1.2110292   1.1454872 ]"
538,1773,"[ 0.9743329   0.4944974  -1.7679929  -1.2494851   0.86557585  1.5862899
  0.07283805  0.55442846  0.40761092 -0.565805   -1.5850664  -0.5666377
  1.1515409   1.0566308   0.85501546  0.21353512 -1.1081499   0.08757214
  1.2148718   1.12038   ]"
539,1663,"[ 0.7263314   0.20218621 -1.4062313  -0.98098576  0.49965358  1.3869913
  0.21659473  0.29106277  0.3478109  -0.5139268  -1.4189683  -0.2759653
  0.8614485   0.9219923   0.47780806  0.34370503 -0.9222922   0.07694296
  0.82769245  0.9279045 ]"
540,1233,"[ 0.65199035  0.16740243 -1.3156126  -0.87191236  0.47052062  1.2697586
  0.29110304  0.3223351   0.32197103 -0.44717413 -1.3289683  -0.16531691
  0.76371163  0.94346184  0.40400228  0.4115125  -0.90543514  0.14033383
  0.7087084   0.93575346]"
541,2361,"[ 0.869394    0.39896175 -1.5688752  -1.128544    0.7277867   1.5110317
  0.02994917  0.4209641   0.4249424  -0.61390626 -1.5383695  -0.5250429
  1.0662303   0.8870835   0.7171052   0.2003612  -1.0010686  -0.03798016
  1.0578607   0.97831005]"
542,256,"[ 0.9308355   0.50503236 -1.5386003  -1.1286979   0.78851     1.3753268
 -0.06155981  0.47718915  0.41459692 -0.5613224  -1.3926132  -0.57534593
  1.0400351   0.84977674  0.8325541   0.09744267 -0.9883026   0.00822933
  1.1240474   0.9512145 ]"
543,1613,"[ 1.0227885   0.5735082  -1.836862   -1.2998238   0.9795299   1.7295957
 -0.0557291   0.5772863   0.46274123 -0.6706657  -1.6896825  -0.7278884
  1.2731661   1.0242027   0.9595676   0.12582587 -1.1070008  -0.06837111
  1.34132     1.1221924 ]"
544,1900,"[-0.1348943  -0.29146492  0.19168493  0.2599079  -0.34833065 -0.29859823
  0.2898668  -0.09006532 -0.04557814  0.13730505  0.17438607  0.4251618
 -0.35466367  0.05728992 -0.23230597  0.22893444 -0.02485372  0.19190389
 -0.42211235  0.09358134]"
545,2199,"[ 7.6124412e-01  2.9629642e-01 -1.4558415e+00 -1.0141619e+00
  6.3458121e-01  1.4612503e+00  1.5250662e-01  3.9471593e-01
  4.1196302e-01 -5.6716025e-01 -1.5058616e+00 -3.9539695e-01
  9.3057531e-01  9.0579212e-01  5.7111937e-01  3.2014063e-01
 -9.3858117e-01  1.0691006e-03  9.0291452e-01  9.2310971e-01]"
546,640,"[ 0.49910167  0.10853453 -1.0183717  -0.647402    0.36184192  1.0064117
  0.23012893  0.25787368  0.3098557  -0.40706113 -1.0641283  -0.14031515
  0.5798697   0.7019768   0.33562854  0.32120994 -0.72826105  0.02468792
  0.5356618   0.69653773]"
547,2018,"[ 0.842789    0.37081754 -1.636674   -1.0877551   0.785466    1.5063233
  0.15653414  0.5076955   0.40110227 -0.62049264 -1.5435985  -0.43592668
  1.0402337   1.0021005   0.71202075  0.3344833  -1.0769776   0.079332
  1.0044106   1.0197847 ]"
548,1673,"[ 0.56421846  0.0722099  -1.2660002  -0.76853746  0.4070614   1.2144363
  0.40125474  0.31257385  0.2874689  -0.4528507  -1.2943949  -0.07987715
  0.70298904  0.9075355   0.3300514   0.5088694  -0.9190328   0.1687421
  0.59832233  0.88397473]"
549,1703,"[ 0.7073157   0.21383783 -1.2545825  -0.9064193   0.4639167   1.1938417
  0.14819422  0.29125738  0.34909835 -0.43043774 -1.2529594  -0.25917724
  0.75385386  0.81688166  0.49060994  0.28082865 -0.8515163   0.09558474
  0.7560001   0.86864835]"
550,1066,"[ 0.6484238   0.29339513 -1.1150509  -0.84243184  0.5409769   1.1415702
 -0.0276256   0.30475953  0.35838228 -0.50664836 -1.1458338  -0.4662158
  0.8012892   0.6123      0.5336275   0.11329231 -0.72229147 -0.14109881
  0.7967956   0.6703645 ]"
551,1297,"[ 0.9177443   0.47003895 -1.7393537  -1.2195126   0.8179575   1.6651042
  0.06064675  0.47880274  0.42971072 -0.6615974  -1.6576471  -0.5883596
  1.1654358   0.99253845  0.7580574   0.232526   -1.0784477  -0.01346695
  1.1815943   1.0287734 ]"
552,1100,"[ 0.95907974  0.5374882  -1.6935173  -1.2403274   0.93221676  1.6083517
 -0.07897237  0.5314646   0.4757121  -0.6669639  -1.6221185  -0.7176011
  1.2302744   0.8916633   0.8979826   0.11573553 -1.0578853  -0.11728512
  1.262914    1.0128732 ]"
553,772,"[ 0.7620361   0.31586698 -1.3922334  -0.9669159   0.63629985  1.328764
  0.11709017  0.4097425   0.39937323 -0.4890599  -1.3477706  -0.39480802
  0.89143914  0.8845474   0.6262645   0.24231695 -0.9240209  -0.00385982
  0.9045016   0.94300234]"
554,771,"[ 0.86102873  0.4462367  -1.491133   -1.1030256   0.7427859   1.4426533
 -0.00644269  0.42829925  0.4292957  -0.5920097  -1.459654   -0.56478214
  1.0321648   0.8382004   0.72154075  0.15014844 -0.95171595 -0.08044305
  1.0616672   0.92603976]"
555,1752,"[ 0.59782976  0.1879256  -1.0831728  -0.7631801   0.43055144  1.0105114
  0.16528063  0.309014    0.31272176 -0.34647456 -1.0696232  -0.23505104
  0.65379     0.7353987   0.44342092  0.24001658 -0.7623175   0.04477355
  0.6470583   0.7826536 ]"
556,735,"[ 0.6116      0.20816086 -1.132698   -0.8029459   0.48143747  1.1005349
  0.14238016  0.32318178  0.34270507 -0.42186347 -1.1743655  -0.28318977
  0.7175501   0.75118315  0.45174155  0.24386126 -0.76744306 -0.00242103
  0.67520803  0.7885167 ]"
557,2417,"[ 9.8468906e-01  4.9595806e-01 -1.7761972e+00 -1.2895775e+00
  8.5547382e-01  1.6915742e+00  2.9688120e-02  4.8736617e-01
  4.4043931e-01 -6.4965481e-01 -1.6851721e+00 -6.2348330e-01
  1.2123214e+00  1.0277848e+00  8.3017075e-01  1.8867214e-01
 -1.0841782e+00 -7.2289957e-04  1.2393360e+00  1.1057142e+00]"
558,1494,"[ 0.42093712 -0.08106404 -0.81117463 -0.5053374   0.10504424  0.7161735
  0.38450027  0.1367045   0.21773353 -0.23391171 -0.8414129   0.1691346
  0.33476317  0.70984167  0.15149984  0.41603798 -0.6850299   0.21942058
  0.27464685  0.7160355 ]"
559,1306,"[ 0.5610654   0.14051251 -1.0381889  -0.6905764   0.3774419   0.9470845
  0.1596985   0.26710457  0.3046195  -0.38911828 -1.0136484  -0.1791339
  0.62766975  0.6718342   0.4291343   0.2779498  -0.75195456  0.06258211
  0.59263694  0.7295487 ]"
560,2081,"[ 0.74711     0.42240083 -1.5044757  -1.011624    0.8082509   1.474975
  0.06546219  0.53835183  0.4136042  -0.6215545  -1.4607414  -0.5454532
  1.0302265   0.87482727  0.7091176   0.23700121 -0.96374613 -0.07331011
  1.0177387   0.8806709 ]"
561,684,"[ 0.18059829 -0.08454876 -0.6104889  -0.26319084  0.12145659  0.5253531
  0.3532045   0.1856148   0.13008481 -0.20778064 -0.60199046  0.16244328
  0.20939074  0.521411    0.08908891  0.3938052  -0.4994784   0.19128205
  0.11259149  0.48085892]"
562,1899,"[ 0.7706708   0.40335616 -1.4545125  -1.0010062   0.7404122   1.3943286
  0.03070497  0.45910123  0.39645728 -0.5681604  -1.3825467  -0.52576935
  0.9807256   0.8479624   0.68455696  0.1713676  -0.930536   -0.0782689
  1.0067265   0.85659444]"
563,331,"[ 1.0166515   0.4551884  -1.824701   -1.3073857   0.82119524  1.7196838
  0.09547759  0.48088667  0.43580914 -0.65815747 -1.7580776  -0.5915669
  1.2115865   1.0776408   0.80445653  0.28965774 -1.1363989   0.041511
  1.222042    1.1677873 ]"
564,66,"[ 0.10411335 -0.26184982 -0.49139383 -0.15729553 -0.10231934  0.4363043
  0.5237924   0.08302434  0.1087228  -0.11024237 -0.5294921   0.40215856
  0.03497503  0.57793736 -0.10115608  0.4936652  -0.4872989   0.28319126
 -0.07725056  0.5059826 ]"
565,1964,"[ 0.7556493   0.24844778 -1.3766917  -0.99212825  0.57525957  1.3205234
  0.16177626  0.35788164  0.39472213 -0.47908    -1.380649   -0.32770485
  0.87601733  0.88483876  0.5612216   0.2898958  -0.91892266  0.0418986
  0.8653742   0.9535672 ]"
566,586,"[ 1.295373    0.7437219  -2.1213071  -1.6414398   1.114439    2.003007
 -0.16077048  0.59694964  0.5608071  -0.8117336  -2.039935   -0.978375
  1.5468817   1.0859059   1.1284218   0.09937637 -1.2553064  -0.09571003
  1.6372095   1.2850821 ]"
567,2026,"[ 0.34894645  0.07043584 -0.7698591  -0.4924517   0.2597799   0.7794212
  0.20000933  0.1969507   0.241378   -0.31480896 -0.8070778  -0.09588137
  0.41776153  0.54154944  0.22921772  0.2638029  -0.5431993   0.01595884
  0.37329146  0.5297373 ]"
568,980,"[ 0.8902832   0.45893905 -1.4969883  -1.1146349   0.78018284  1.3262756
 -0.04290264  0.47780108  0.41281703 -0.5286531  -1.3618412  -0.549597
  1.0220671   0.85274094  0.8107775   0.10991792 -0.95802426  0.0148877
  1.0670336   0.9694297 ]"
569,2332,"[ 0.81480825  0.3551504  -1.5181639  -1.0678579   0.71888125  1.4185414
  0.1147351   0.46307772  0.41214225 -0.56654656 -1.4887196  -0.44173613
  1.0022953   0.9221165   0.67385364  0.2962721  -1.0003833   0.03025571
  0.9771041   0.98146516]"
570,758,"[ 0.49276733  0.05067731 -0.9084005  -0.6240705   0.2368268   0.8693091
  0.2442404   0.1976516   0.29782432 -0.27032578 -0.97390324 -0.05219213
  0.46638542  0.6933088   0.25840527  0.30610028 -0.6768615   0.08699904
  0.4320771   0.740433  ]"
571,1662,"[ 0.44645667  0.15435937 -0.8491139  -0.55852205  0.34661144  0.7973205
  0.0841551   0.23277253  0.231563   -0.30167624 -0.79831517 -0.17305864
  0.49533084  0.55181664  0.3557834   0.15280874 -0.58654916  0.04446174
  0.5102232   0.5304885 ]"
572,903,"[ 1.0460694   0.4765939  -1.8827761  -1.372056    0.8944186   1.8214183
  0.06027512  0.5060041   0.48284236 -0.71516275 -1.8742371  -0.6543683
  1.2818391   1.0554014   0.8394214   0.28940305 -1.1730605  -0.03528912
  1.2901844   1.1615607 ]"
573,481,"[ 0.5283701   0.14802155 -1.1039605  -0.68210524  0.43266395  1.009843
  0.25163502  0.35368514  0.2796493  -0.36340502 -1.031472   -0.10705686
  0.6169362   0.80941314  0.39489505  0.32939738 -0.79909986  0.14258662
  0.57824403  0.795099  ]"
574,2286,"[ 0.25612947 -0.00367418 -0.5672139  -0.3087664   0.13854818  0.5375631
  0.19677389  0.13658759  0.16579339 -0.23150052 -0.5911222   0.00989243
  0.27989894  0.41086972  0.1389776   0.23926488 -0.44195426  0.05033443
  0.23077156  0.41752365]"
575,990,"[ 1.5842266   0.9802478  -2.4504757  -1.9077075   1.328262    2.301935
 -0.38150954  0.6570033   0.67662823 -0.9253842  -2.2944434  -1.3135359
  1.8593986   1.1417449   1.4630018  -0.09035163 -1.3595575  -0.20886526
  2.0140457   1.4011227 ]"
576,277,"[ 0.4821758  -0.01992453 -1.0315956  -0.6306143   0.2291594   0.88908625
  0.4350539   0.23972574  0.22101943 -0.2737646  -0.9819411   0.1289148
  0.456408    0.8456248   0.23442027  0.48272473 -0.78848     0.3047493
  0.3984505   0.8300272 ]"
577,1170,"[ 1.013118    0.4793754  -1.7834138  -1.2804469   0.86182314  1.7142016
  0.05141289  0.5010421   0.4763178  -0.632585   -1.7442688  -0.61429995
  1.1949086   1.0643635   0.8384379   0.22535686 -1.1029744  -0.02103238
  1.223928    1.1520426 ]"
578,596,"[ 0.7333375   0.31246826 -1.4184017  -0.94141126  0.68135184  1.3125796
  0.11071793  0.4496617   0.36818448 -0.49329734 -1.3059126  -0.37287167
  0.89744455  0.8842127   0.66820323  0.25326556 -0.94302976  0.04553986
  0.887021    0.90821683]"
579,2422,"[ 0.6508093   0.2929868  -1.267102   -0.84604263  0.6273778   1.1082318
  0.15743628  0.45059603  0.32214615 -0.4656968  -1.1730238  -0.3057951
  0.8057816   0.8116804   0.57400304  0.2792464  -0.89339525  0.07508797
  0.77501     0.8593975 ]"
580,2112,"[-0.34035218 -0.6210366   0.42169982  0.5562444  -0.73018646 -0.59565747
  0.6396332  -0.24201211 -0.11430766  0.2741891   0.3172012   0.8936198
 -0.72029793  0.12705971 -0.5692937   0.5233475  -0.01917786  0.4432642
 -0.85018754  0.1362249 ]"
581,746,"[ 0.6799324   0.3383568  -1.1062375  -0.846387    0.612746    1.0150237
 -0.0396243   0.39284688  0.37518272 -0.45746213 -1.1049167  -0.44491112
  0.79101956  0.610288    0.6126323   0.10776134 -0.7756801  -0.0830532
  0.80623406  0.73661363]"
582,191,"[ 0.572152    0.06138397 -1.2211323  -0.7989588   0.3689856   1.1593848
  0.39239025  0.3046787   0.30342987 -0.4353231  -1.2769316  -0.07130519
  0.6822481   0.8932843   0.3003542   0.51287585 -0.88166106  0.17815806
  0.58967173  0.87919784]"
583,563,"[ 0.7767676   0.2782078  -1.5112624  -1.0067838   0.65307295  1.3247892
  0.25252998  0.47896302  0.3417061  -0.5010458  -1.407869   -0.27045485
  0.8944407   0.9956872   0.6084307   0.40047076 -1.0478274   0.18793829
  0.8514322   1.0517006 ]"
584,129,"[ 1.288696    0.73484826 -2.2028565  -1.6359711   1.1210815   2.1229892
 -0.1418508   0.5884628   0.54791236 -0.80435544 -2.1022108  -0.98180926
  1.5793643   1.1586952   1.1299922   0.08655119 -1.23864    -0.13852786
  1.6659505   1.2932665 ]"
585,871,"[ 1.1891234   0.6853512  -1.9486953  -1.4585704   1.0811129   1.7624938
 -0.14283134  0.62089163  0.53395975 -0.7137403  -1.800923   -0.87806064
  1.4148723   1.0117626   1.1176713   0.08494878 -1.19815    -0.07293791
  1.503459    1.1966517 ]"
586,433,"[ 0.05491086 -0.25132748 -0.13370863 -0.00516481 -0.21830362  0.02223233
  0.3779388  -0.01040091  0.06395972  0.05493945 -0.18917833  0.3937338
 -0.14138761  0.30529508 -0.12474889  0.3647033  -0.2554738   0.26554585
 -0.22662586  0.33045968]"
587,1769,"[ 0.34496573 -0.05970164 -0.9926119  -0.5145825   0.2320904   0.90866476
  0.4640536   0.2563958   0.19586825 -0.34904113 -0.9815333   0.13091163
  0.43857592  0.80082387  0.15766774  0.52960193 -0.7735903   0.24389666
  0.31070337  0.7099312 ]"
588,1051,"[ 0.30157423 -0.02781336 -0.8286484  -0.44456142  0.22849193  0.8434039
  0.36266997  0.2088533   0.22481988 -0.34043723 -0.8814456   0.0366303
  0.41232947  0.6730932   0.16440144  0.43704402 -0.6250721   0.11163998
  0.324924    0.5932201 ]"
589,1771,"[ 0.98030424  0.61154974 -1.710867   -1.2745335   0.963046    1.6454204
 -0.16312847  0.5422907   0.47934312 -0.7227139  -1.6315373  -0.8194525
  1.2584794   0.8541193   0.9085601   0.06375443 -1.0366207  -0.16243438
  1.3080795   0.9475945 ]"
590,891,"[ 0.9176988   0.41871747 -1.5915211  -1.1647265   0.7662562   1.4866822
  0.01949517  0.45307496  0.42644426 -0.6005658  -1.511676   -0.5441646
  1.0783914   0.9128088   0.7875654   0.1853385  -1.0312345   0.01495168
  1.1047897   1.0074847 ]"
591,243,"[ 0.7681172   0.37317324 -1.3995796  -0.9683399   0.7176781   1.2142473
  0.06126792  0.47754282  0.37723902 -0.46730217 -1.2631637  -0.3898396
  0.8867299   0.85139     0.6929287   0.20119694 -0.9433595   0.08488172
  0.9061244   0.937443  ]"
592,1391,"[ 0.45632794 -0.06755781 -0.8894382  -0.57050806  0.1430737   0.8107011
  0.41917995  0.17158455  0.2327957  -0.23478734 -0.9420963   0.15640621
  0.37440926  0.7748916   0.16118339  0.48395035 -0.70702654  0.25582004
  0.29801917  0.7649039 ]"
593,2157,"[ 1.272297    0.753271   -2.2043734  -1.6350353   1.1567563   2.0949068
 -0.14158626  0.63331217  0.5546503  -0.82651055 -2.0596564  -0.98531276
  1.5824718   1.1413409   1.1486639   0.11367718 -1.2901056  -0.11079556
  1.6777351   1.2803533 ]"
594,1183,"[ 0.23325135 -0.01666105 -0.7374319  -0.33824933  0.20840877  0.7062474
  0.30680776  0.20763642  0.14467293 -0.3029781  -0.7104006   0.00481718
  0.34808996  0.5545905   0.14789982  0.34339818 -0.53758365  0.08022689
  0.25595722  0.46127334]"
595,2463,"[ 0.7922423   0.37549773 -1.4448513  -1.0365237   0.6673697   1.4180841
  0.03982129  0.37983975  0.40565392 -0.5897481  -1.425115   -0.49647075
  0.9793367   0.8508467   0.6462859   0.19352272 -0.9384774  -0.06089913
  0.9907785   0.8998973 ]"
596,635,"[ 0.6951498   0.22766925 -1.3552085  -0.933549    0.52012354  1.2558362
  0.22932576  0.3553927   0.34621608 -0.45967773 -1.3066543  -0.23175175
  0.8111979   0.9161591   0.5037178   0.339668   -0.91277945  0.13416508
  0.7894979   0.934446  ]"
597,1262,"[ 0.6049344   0.07603276 -1.1913145  -0.7641905   0.3558102   1.1397164
  0.36223295  0.28162992  0.3171023  -0.38758516 -1.2208654  -0.07016218
  0.6266666   0.8964424   0.34960687  0.4424996  -0.85949177  0.16777332
  0.57623     0.89212567]"
598,965,"[ 0.84506595  0.41997167 -1.6040636  -1.1198552   0.76803505  1.5532576
  0.08143737  0.4625564   0.40513584 -0.6222532  -1.5448248  -0.5330975
  1.075371    0.9347323   0.70712954  0.24376398 -1.0091307  -0.01402457
  1.0781935   0.9615899 ]"
599,603,"[ 0.5482664   0.10933956 -1.0690664  -0.7036488   0.3534642   1.0477934
  0.24046008  0.24004105  0.30165786 -0.40471888 -1.1199579  -0.10880324
  0.6169509   0.7827148   0.3199736   0.33193937 -0.7655381   0.08222847
  0.5510984   0.7494413 ]"
600,2032,"[ 1.2254599   0.762669   -2.1180658  -1.558528    1.1443413   2.0451972
 -0.14700021  0.6148801   0.55985737 -0.8155463  -2.015063   -1.0002594
  1.5288877   1.0933659   1.125345    0.08598713 -1.227543   -0.17369665
  1.6351523   1.2193141 ]"
601,1023,"[ 0.12543972 -0.1514079  -0.38572705 -0.1475259  -0.09629589  0.3356111
  0.3430558   0.0406604   0.09941553 -0.06662025 -0.40486944  0.25033048
  0.03285373  0.44680104 -0.04875208  0.3131161  -0.36313778  0.18551266
 -0.02659009  0.4014428 ]"
602,264,"[ 0.55675596  0.05574011 -1.0943683  -0.72080004  0.31200033  1.0046192
  0.3309632   0.26035628  0.29652616 -0.33072582 -1.0944598  -0.02073556
  0.56878304  0.8324617   0.32365063  0.4177107  -0.8243159   0.19543362
  0.5190825   0.8425556 ]"
603,762,"[ 7.3333150e-01  3.2652161e-01 -1.4578396e+00 -9.8477310e-01
  6.6112113e-01  1.4131531e+00  1.5512887e-01  4.2869270e-01
  3.8448212e-01 -5.7421023e-01 -1.4468269e+00 -4.1031700e-01
  9.4023615e-01  9.2050022e-01  5.7537740e-01  3.1730634e-01
 -9.6730345e-01  2.8524781e-04  9.0391380e-01  9.2163557e-01]"
604,2468,"[ 0.76516384  0.2960227  -1.4656565  -0.99973863  0.6529441   1.3501843
  0.20815863  0.43425655  0.37739462 -0.4925984  -1.4172239  -0.34689793
  0.9192712   0.9556351   0.6000643   0.31898862 -0.9874812   0.08556728
  0.89788514  1.0011928 ]"
605,424,"[ 0.15131858 -0.1649171  -0.42045155 -0.19060838 -0.03730169  0.35633555
  0.38469437  0.06908774  0.14138407 -0.09519999 -0.48786283  0.24775356
  0.07797972  0.46035752 -0.00658467  0.38213113 -0.40524998  0.18915634
  0.00834315  0.43877542]"
606,639,"[ 1.295516    0.9280907  -2.1220741  -1.6162853   1.3123977   2.0295277
 -0.4373274   0.69971544  0.61224544 -0.894774   -1.9696     -1.2800221
  1.6799685   0.9082233   1.3338779  -0.16627751 -1.1893009  -0.34039763
  1.8204061   1.117737  ]"
607,356,"[ 0.4548618   0.06381008 -0.8182281  -0.55546993  0.2148057   0.812395
  0.17042261  0.14021713  0.26581758 -0.2972105  -0.8417216  -0.08483315
  0.42634407  0.585113    0.26959532  0.24398495 -0.6055523   0.05675564
  0.4204288   0.6032517 ]"
608,783,"[ 0.74740326  0.24479733 -1.337146   -0.92903036  0.5583002   1.1473854
  0.23012532  0.4174346   0.33982188 -0.3712632  -1.2334335  -0.2218999
  0.77488124  0.91212046  0.57767075  0.30548513 -0.9469656   0.18048169
  0.78269076  1.0000303 ]"
609,1154,"[ 0.7405083   0.2418799  -1.4711486  -0.9774274   0.5783845   1.4267173
  0.2667952   0.38896257  0.3600995  -0.53417575 -1.4700751  -0.26511824
  0.87883586  0.99930423  0.5271292   0.40431023 -0.99304014  0.10872193
  0.85067815  0.9846054 ]"
610,2198,"[ 0.74148536  0.29702747 -1.416587   -0.9932579   0.60127467  1.3076347
  0.17992675  0.42896566  0.34726793 -0.48177212 -1.3332794  -0.31184942
  0.85481936  0.9274113   0.5745968   0.29925966 -0.9571587   0.13156775
  0.85384357  0.94641906]"
611,376,"[ 0.25327966  0.00861786 -0.52073455 -0.2768593   0.14226632  0.33535612
  0.23028937  0.2254987   0.13160995 -0.10594335 -0.4061371   0.1188072
  0.17572473  0.4548047   0.1941796   0.23125966 -0.48633617  0.2166119
  0.16422822  0.49467748]"
612,627,"[ 0.4497694   0.15183648 -0.86502355 -0.60631216  0.31617698  0.8766952
  0.12427993  0.20936456  0.27674735 -0.34556165 -0.89244443 -0.18919514
  0.5198827   0.5513259   0.33872128  0.19278204 -0.5680861  -0.0020141
  0.5105564   0.57698953]"
613,2101,"[ 0.11945551 -0.27516323 -0.5478363  -0.17626923 -0.07247216  0.51887566
  0.55460906  0.08520748  0.12692423 -0.13801399 -0.61593217  0.3862876
  0.08389907  0.6220427  -0.09333798  0.56422395 -0.5106102   0.26692277
 -0.05623232  0.5132775 ]"
614,437,"[ 0.13534766 -0.2577441  -0.6089063  -0.25173122 -0.0461483   0.5893997
  0.56151634  0.1008712   0.15572421 -0.20059721 -0.7357795   0.36870602
  0.13528377  0.6410593  -0.1178711   0.598627   -0.53614146  0.24634513
 -0.02850168  0.54202324]"
615,1981,"[ 0.19729096 -0.16104268 -0.54862565 -0.25828594 -0.00322571  0.46020126
  0.42957023  0.10846224  0.14881438 -0.14896037 -0.5722577   0.26967394
  0.14425476  0.5484635   0.01100721  0.45324084 -0.51591915  0.24362166
  0.06087792  0.53342706]"
616,1661,"[ 0.60462296  0.0806342  -1.2211876  -0.787205    0.39678517  1.0969988
  0.40063715  0.34203443  0.30245495 -0.35583222 -1.2083969  -0.00772206
  0.62753576  0.96026814  0.3560033   0.49831724 -0.9151652   0.24902849
  0.5653983   0.97035736]"
617,898,"[ 0.09089981 -0.18197812 -0.5302387  -0.15616825  0.00414347  0.44966063
  0.47494647  0.16454193  0.09793336 -0.15274757 -0.52965534  0.3203344
  0.09297213  0.5568202  -0.03153043  0.47576818 -0.47348398  0.2557547
 -0.01751486  0.45888627]"
618,2297,"[ 0.8090445   0.47752994 -1.4904815  -1.0564607   0.81249195  1.4532417
 -0.11996385  0.43708146  0.3906194  -0.609486   -1.3793199  -0.66502434
  1.0849798   0.7484245   0.77978295  0.0342794  -0.85937434 -0.14707996
  1.1435429   0.8019257 ]"
619,2434,"[ 1.2955408   0.7568486  -2.1438863  -1.621961    1.0928435   2.074964
 -0.19703238  0.5498898   0.5534946  -0.84560245 -2.0475657  -1.0205877
  1.5680624   1.0746199   1.1199788   0.04489052 -1.2196862  -0.16664888
  1.6674553   1.2098529 ]"
620,1564,"[ 0.874632    0.4923861  -1.5489026  -1.144036    0.84914446  1.4637823
 -0.03945899  0.5042315   0.43565434 -0.6210358  -1.4907316  -0.65562093
  1.1127546   0.83246136  0.79246706  0.12587552 -0.9738881  -0.08738527
  1.130793    0.9360704 ]"
621,1442,"[ 0.774148    0.290996   -1.3943132  -0.9813484   0.59592307  1.3519576
  0.0944763   0.36577296  0.3830962  -0.5444027  -1.3844156  -0.4001288
  0.91549987  0.8611579   0.58360344  0.25211865 -0.90798604 -0.00145157
  0.8850173   0.8928234 ]"
622,1424,"[ 0.60008746  0.10432756 -1.0905765  -0.7394849   0.3154413   0.9799668
  0.2588866   0.2325708   0.28329334 -0.30910227 -1.0483942  -0.06327134
  0.5712523   0.8104951   0.3548075   0.3134258  -0.767245    0.1718199
  0.56561744  0.8209927 ]"
623,797,"[ 0.41652966  0.12704368 -0.9484751  -0.57753235  0.35449594  0.8882013
  0.2506441   0.2814992   0.23875993 -0.31754008 -0.89757955 -0.10580759
  0.5120615   0.6882694   0.3023864   0.2793874  -0.66464144  0.07233927
  0.4911381   0.66030145]"
624,2250,"[ 0.5866201   0.1035404  -1.2386757  -0.7927974   0.42883918  1.1724745
  0.34478688  0.31785434  0.29577208 -0.44794214 -1.2718441  -0.096338
  0.70243645  0.902137    0.36332077  0.45675126 -0.88124824  0.16563056
  0.6051395   0.8763154 ]"
625,2148,"[ 0.90317035  0.36451682 -1.6715442  -1.1792314   0.70901287  1.576006
  0.15716922  0.43447763  0.40646526 -0.5880369  -1.6126755  -0.43954495
  1.0585507   1.0460094   0.6885317   0.3236401  -1.0628985   0.07883165
  1.0498699   1.087374  ]"
626,1458,"[ 0.91236585  0.3895466  -1.7885356  -1.2065678   0.7957196   1.7547987
  0.15861006  0.4617183   0.4212975  -0.690252   -1.7679089  -0.52497274
  1.1838088   1.1046377   0.7247821   0.36199528 -1.1216009   0.01540587
  1.155849    1.098678  ]"
627,1711,"[ 0.595374    0.19085601 -1.1807809  -0.7929199   0.4575013   1.152909
  0.16893825  0.29550135  0.31815135 -0.44025925 -1.1535872  -0.24275967
  0.7210932   0.7782492   0.41558167  0.2891071  -0.7830015   0.04381821
  0.6944641   0.76661223]"
628,1565,"[ 0.40279725 -0.03492095 -0.81347895 -0.5071499   0.14353488  0.7396238
  0.33499396  0.17199096  0.23470472 -0.24163505 -0.82736707  0.08943056
  0.3679844   0.69434893  0.19562408  0.38592136 -0.67348653  0.18841974
  0.32605815  0.6895734 ]"
629,1080,"[ 1.1727111   0.6168667  -1.8281941  -1.4268583   0.93108827  1.6244123
 -0.1038297   0.5244799   0.50114083 -0.6099583  -1.7132535  -0.76314664
  1.2851052   0.9855337   1.0091751   0.08236551 -1.1433649  -0.00882037
  1.3780084   1.2058488 ]"
630,1048,"[ 0.82779384  0.388744   -1.3681775  -1.0270776   0.67003363  1.3025638
 -0.03921486  0.35008895  0.40434754 -0.5157528  -1.3308299  -0.50594664
  0.9291879   0.7724147   0.67129177  0.11295818 -0.8673654  -0.07308865
  0.9624228   0.8473947 ]"
631,117,"[ 0.77055156  0.4275682  -1.40479    -0.9981408   0.75747216  1.37486
 -0.03478645  0.45779562  0.42749214 -0.56718576 -1.3737056  -0.58271474
  0.9940747   0.78400224  0.7099262   0.12716696 -0.8707404  -0.11655818
  1.0054876   0.8554443 ]"
632,2161,"[ 1.0641527   0.5253554  -1.7878435  -1.3326832   0.87101585  1.6177564
 -0.00967756  0.5025223   0.46442637 -0.6235702  -1.6598647  -0.6491065
  1.2090495   0.9913559   0.90566444  0.1614271  -1.1328207   0.02891519
  1.2799829   1.1588429 ]"
633,689,"[ 0.20065746 -0.06129257 -0.42024606 -0.24515113  0.03483692  0.38634837
  0.2004618   0.06996128  0.15961441 -0.13038966 -0.4595139   0.10516638
  0.13167217  0.35594153  0.07695659  0.23559454 -0.37257782  0.10922286
  0.09792273  0.36020264]"
634,568,"[ 0.7730184   0.24875827 -1.462536   -1.0249413   0.6015728   1.4158721
  0.234172    0.37833858  0.38692394 -0.52062106 -1.5037591  -0.28813475
  0.9160716   0.9800024   0.546126    0.3871998  -0.97547776  0.10021976
  0.8728302   1.0019621 ]"
